NORTH CENTRAL INDIA MONTHLY, SEASONAL AND ANNUAL RAINFALL SERIES FOR THE PERIOD 1831-2006. THE RAINFALL FIGURES ARE IN MM.
Blank spaces indicate data not available.
YEAR      J      F      M      A      M      J     JU      A      S      O      N      D    ANN     JF    MAM   JJAS    OND
1919   63.7   19.2   10.6   13.0   42.6  198.3  384.2  345.4  199.9   74.6    6.1    2.0 1359.5   82.9   66.2 1127.8   82.6
1920    0.4   16.2   37.0    7.8   31.1   93.6  510.3  223.7  166.4   11.5    0.0    0.0 1097.9   16.6   75.8  994.0   11.5
1921   38.4    3.5    3.3   13.0   11.1  194.1  261.4  419.0  250.7   27.7    0.0    0.5 1222.8   41.9   27.5 1125.2   28.2
1922   24.8    5.1    0.5    8.3   15.3  244.4  420.7  410.7  279.4   18.1    8.7    9.2 1445.2   29.9   24.1 1355.3   36.1
1923    1.7   49.6    4.0    5.1   26.4   91.9  314.1  419.9  202.4   66.6    5.5    7.8 1195.2   51.3   35.6 1028.3   80.0
1924   14.5    8.7    2.3    6.9   14.8   86.3  471.0  269.1  286.2   45.0   53.5    5.0 1263.3   23.2   24.1 1112.5  103.5
1925    6.0    2.0    6.3   26.5   47.0  173.3  454.5  280.3  218.4   48.7   14.0    0.6 1277.5    8.0   79.7 1126.5   63.3
1926   16.5    2.7   63.7   23.0   34.7   35.0  411.4  356.4  285.1   50.0    0.7    4.8 1284.0   19.1  121.4 1087.9   55.5
1927   15.2   40.9   22.7    4.8   43.0  108.7  344.5  314.2  150.9   55.8   48.9    2.3 1151.8   56.1   70.4  918.3  106.9
1928   27.8   48.5    3.2   21.0   31.9  195.6  350.2  198.7   97.0  113.0    0.1   11.9 1099.0   76.3   56.1  841.5  125.1
1929   42.7    8.7   12.9   12.5   14.9  166.4  412.9  372.4   92.5  128.4    0.0   48.3 1312.5   51.3   40.3 1044.3  176.6
1930    6.9   11.3    8.2   14.3   20.9  113.6  410.1  283.8  265.6   32.7   49.2    9.5 1226.1   18.2   43.4 1073.2   91.4
1931    4.6   50.5   11.2    4.4   20.9   70.4  335.5  307.6  281.8  109.0   17.0    0.5 1213.4   55.1   36.4  995.3  126.6
1932    0.0   16.5    4.1    9.4   28.3   99.6  279.4  274.6  180.4   31.9   42.8    2.4  969.5   16.5   41.8  834.1   77.1
1933   20.6   38.9    5.8   43.9   82.4  184.9  308.0  317.2  197.4   79.4    3.5    1.7 1283.7   59.5  132.2 1007.5   84.6
1934   28.2    6.9    8.4    8.2    9.2  186.8  351.1  303.6  251.0   31.4    6.8    5.1 1196.7   35.1   25.8 1092.5   43.3
1935   19.0   19.2    6.9   18.0    6.8  103.2  327.6  339.3  230.1    0.9    0.0    7.9 1078.8   38.2   31.7 1000.1    8.8
1936   12.6   24.8   11.8    8.2   62.0  255.1  475.6  346.5  292.6   74.7   10.0   13.8 1587.6   37.4   82.0 1369.7   98.5
1937    0.0   72.0    5.2   21.1   52.2  147.7  329.7  357.1  176.4  108.9    0.3    2.3 1273.0   72.0   78.5 1011.0  111.4
1938   24.9   18.0    1.1    2.1   66.7  295.1  360.8  383.5  221.6   54.7    2.1    0.0 1430.6   42.9   70.0 1261.0   56.7
1939   13.4   29.6   16.5    8.4   13.1  197.0  342.0  342.0  227.6   61.9    1.7    0.3 1253.5   43.0   37.9 1108.6   64.0
1940    4.0   28.3   54.9   10.4   28.7  111.1  346.8  374.5  137.2   23.5    1.0   22.2 1142.5   32.3   94.0  969.5   46.7
1941   26.3    8.1    2.9    4.8   35.1  191.3  228.8  331.1  172.9   65.6   16.3    0.1 1083.1   34.4   42.7  924.0   81.9
1942   39.6   52.6   10.5   15.6   16.8  118.3  368.7  373.6  281.7   23.4    4.5    5.5 1310.8   92.2   43.0 1142.3   33.4
1943   53.9   10.1    2.2   32.7   25.6  113.4  346.2  444.5  268.9   35.2    0.1    0.0 1332.7   64.0   60.5 1173.0   35.3
1944   29.0   45.7   61.0   23.8   10.7  125.2  346.2  369.6  169.4   75.3    1.6    2.4 1259.9   74.7   95.5 1010.3   79.3
1945   43.3   11.0    1.5   32.6   30.4  124.1  284.6  263.9  288.8  131.8    0.9    3.2 1215.9   54.3   64.4  961.3  135.9
1946    0.0   20.9    4.7   50.1   58.0  192.1  392.3  305.5  193.5  110.7   23.7    1.3 1352.6   20.9  112.8 1083.3  135.6
1947   17.4   15.5   19.0    5.3   26.6  111.4  408.2  305.9  225.9   57.1    1.3   10.0 1203.7   32.9   50.9 1051.3   68.5
1948   43.1   12.4   10.1    7.3   34.4  152.3  392.7  361.9  274.9   70.5   53.3    0.4 1413.3   55.4   51.9 1181.8  124.2
1949    7.5   30.0    7.8   27.0   69.7  130.1  354.2  369.3  248.9  117.8    0.1    0.2 1362.7   37.5  104.5 1102.6  118.1
1950   16.2   17.0   34.5    1.5   29.9  227.2  328.1  357.2  131.9   16.1   15.6   14.4 1189.6   33.1   65.9 1044.4   46.2
1951   17.3    8.0   38.4   15.8   25.8  146.4  251.8  279.5  184.1   51.4    7.3    0.0 1025.9   25.3   80.0  861.9   58.7
1952    1.9   13.0   28.5   21.8   26.9  227.4  273.5  343.2  201.1   39.2    0.8    1.6 1178.8   14.8   77.2 1045.2   41.5
1953   31.5    8.3    1.3    9.5   20.4  162.0  438.7  352.8  266.7   20.2   12.3    1.0 1324.9   39.8   31.2 1220.3   33.6
1954   23.9   18.7    2.7    2.3   19.5  109.8  295.9  282.5  225.1   31.0    0.0    5.0 1016.3   42.6   24.5  913.2   36.0
1955   29.5    7.6    2.8    8.8   16.0  188.8  424.9  307.7  228.0  115.0   13.4    0.1 1342.5   37.1   27.6 1149.4  128.5
1956   14.6   16.7   20.0    4.6   59.8  234.2  273.7  325.9  315.7  150.5   34.3    9.0 1458.9   31.3   84.4 1149.4  193.7
1957   50.9    9.2   23.4    2.7    3.8   93.5  364.3  315.4  166.1   11.1    0.0    2.5 1043.0   60.1   29.9  939.4   13.7
1958   12.6   15.1   13.5   12.1   15.4   79.2  296.5  328.9  250.2  101.0    3.3    0.9 1128.7   27.6   41.1  954.8  105.3
1959   51.1    5.1    5.7   14.2   44.1  100.4  290.6  320.1  176.3  183.9    0.4    0.2 1192.1   56.2   64.0  887.4  184.6
1960   12.0    0.2   37.0    3.7   24.3   97.5  357.8  384.3  204.8  105.2    0.7    0.8 1228.4   12.2   65.1 1044.4  106.7
1961   17.2   50.3    1.5    4.9   27.8  186.5  310.3  374.7  259.9  190.3    2.1   10.2 1435.9   67.6   34.2 1131.4  202.7
1962   18.8   12.3   10.2   19.2   19.5  109.9  258.0  343.9  236.0   48.0    0.0   14.2 1090.0   31.1   48.9  947.8   62.2
1963    8.2    6.1   11.5   18.1   50.1  142.3  322.4  308.8  222.0   77.6    9.6    0.6 1177.3   14.3   79.7  995.5   87.9
1964    2.0    9.4    2.8   14.8   48.6  131.7  395.8  267.1  242.1   58.2    2.5    4.3 1179.4   11.4   66.3 1036.7   64.9
1965    2.2    6.9   25.2   20.0    9.2   65.1  260.8  230.3  207.0   46.3    0.2    1.1  874.2    9.1   54.4  763.2   47.5
1966   22.0    7.5    1.6    7.4   22.2  216.2  196.5  261.1   73.2   25.4   23.8   11.7  868.7   29.5   31.2  747.0   60.9
1967    9.7    0.9   48.2   20.2   18.0   88.5  286.6  434.8  207.8   12.0    1.4   31.3 1159.4   10.7   86.4 1017.7   44.6
1968   33.0   10.6    6.6    5.3   10.0  179.6  326.1  290.2  111.2   58.5    3.9    4.1 1039.1   43.6   21.9  907.1   66.5
1969    4.9    5.6    6.3   18.2   54.5  111.2  375.8  329.7  218.2   14.8   28.5    0.5 1168.2   10.5   79.0 1034.9   43.8
1970   27.3   35.8   22.6    8.0   45.5  205.1  265.5  277.6  334.9   48.2    2.5    0.0 1273.0   63.1   76.1 1083.1   50.7
1971   26.0   16.0    8.9   67.1   68.0  268.1  378.6  442.5  209.9  126.4    3.6    0.0 1615.2   42.0  144.0 1299.2  130.0
1972    5.3   32.5    1.5    7.2    3.9   64.0  213.9  334.5  217.3   46.2   20.9    0.9  948.1   37.8   12.7  829.6   67.9
1973   13.9   17.4   13.3    3.0   40.4  141.3  302.6  333.0  272.9  173.4    5.0    2.9 1319.1   31.3   56.7 1049.8  181.3
1974    1.4    4.4   14.8    5.1   28.9   83.0  364.5  315.8  159.8   48.3    3.1    5.8 1035.0    5.8   48.8  923.1   57.2
1975   11.6   11.9   16.2   10.7   21.3  191.0  395.4  305.3  211.7   69.0    1.1    0.0 1245.2   23.5   48.1 1103.5   70.1
1976    4.7   10.6    5.9   16.4   42.7   94.2  288.1  310.3  273.7   16.5    5.5    1.1 1069.8   15.3   65.0  966.3   23.2
1977   11.3    7.4    3.5   24.1   59.7  156.6  394.5  304.0  149.6   91.5   20.3   13.7 1236.2   18.7   87.2 1004.7  125.5
1978   19.7   36.8   34.9   15.4   26.2  200.8  292.4  312.4  283.5   72.4    5.0   13.1 1312.6   56.5   76.6 1089.1   90.5
1979   28.0   29.2    5.2   15.3    9.0  122.6  306.6  151.6   87.2   35.6   33.0   11.9  835.4   57.2   29.5  668.1   80.6
1980    8.8    5.9   22.7    8.1   44.5  231.4  464.2  369.5  250.6   36.4    0.3   12.3 1454.8   14.7   75.3 1315.7   49.1
1981   25.3   16.2   22.6   27.2   67.7  114.9  447.2  268.7  245.3    3.4    6.7    9.9 1255.1   41.4  117.6 1076.1   20.0
1982   26.4   19.7   47.7   20.1   36.6  145.9  212.7  362.3  211.8   25.7   18.3    3.7 1130.7   46.1  104.3  932.6   47.8
1983   12.6   16.0   10.0   34.8   58.6  121.3  274.9  270.8  307.9   91.4    0.3   14.4 1212.9   28.6  103.4  974.9  106.1
1984   31.0   32.0    1.3   14.2   30.3  307.1  340.0  346.4  204.3   32.1    0.0    2.1 1340.7   63.0   45.8 1197.7   34.1
1985   25.8    6.8    1.4   10.9   37.8  117.5  383.6  288.0  284.3  155.1    0.1    4.2 1315.5   32.6   50.2 1073.5  159.3
1986   11.8   35.4    7.6   20.6   59.6  188.7  316.9  240.5  154.2   75.2   17.3   40.0 1167.8   47.2   87.8  900.3  132.5
1987   11.5   13.5    8.3   18.9   35.5   61.5  332.9  322.8  297.5   66.5   18.8    5.6 1193.3   25.0   62.7 1014.6   91.0
1988    3.6   20.8   28.8   22.6   25.7  186.3  320.1  346.8  137.1   42.9    2.6    9.4 1146.7   24.4   77.1  990.3   54.9
1989    8.6    5.3   11.6    1.3   55.3  210.8  336.2  231.2  233.2   27.0    3.6   20.0 1144.2   13.9   68.2 1011.4   50.7
1990    0.3   42.0   25.6   17.8   74.8  183.4  425.1  241.8  249.1   61.1    7.1    4.7 1332.8   42.3  118.3 1099.4   72.9
1991   18.1    9.6   21.3   16.3   22.3  149.4  236.5  374.0  207.0   20.7    3.7   40.1 1119.0   27.7   59.9  966.7   64.6
1992    7.8    8.1    0.5    5.9   45.1  101.6  274.4  293.8  171.1   44.1    8.0    0.2  960.5   15.8   51.5  840.9   52.3
1993    2.4    6.6   23.6   30.8   49.7  194.6  203.1  275.0  313.6   30.3   10.8    0.0 1140.6    9.0  104.1  986.2   41.2
1994   24.0   27.9    0.8   19.6   25.9  232.0  373.6  363.6  199.4   44.3    3.8    0.1 1314.9   51.9   46.3 1168.6   48.2
1995   28.4   22.6   19.1    4.0   33.6  128.3  276.2  337.7  275.7   30.9   52.0   11.3 1219.8   51.0   56.7 1017.9   94.2
1996   38.3   28.4    3.5   10.3   14.5  195.0  256.3  363.7  162.0   61.8    2.8    0.2 1136.8   66.7   28.3  977.0   64.8
1997   11.5    2.9    7.8   36.0   34.0  169.3  367.2  335.1  217.7   46.5   32.0   55.3 1315.4   14.5   77.8 1089.4  133.8
1998   33.3   18.7   36.6   21.6   39.2   92.4  315.0  346.2  232.7   85.7   35.1    0.8 1257.4   52.0   97.5  986.3  121.6
1999    5.3   11.0    0.1    1.5   78.9  205.5  330.0  322.9  263.8  109.1    4.0    2.1 1334.3   16.3   80.5 1122.3  115.3
2000    3.3   22.3    5.0   27.2   74.5  239.4  292.4  238.7  252.9   14.1    0.3    0.0 1170.2   25.6  106.8 1023.4   14.4
2001    3.4    2.1   20.4   18.4   74.5  272.1  376.8  228.7  137.5  125.2    3.4    0.0 1262.4    5.5  113.3 1015.0  128.5
2002   18.8   23.0    9.7   18.4   55.6  130.1  188.2  284.9  250.5   42.3    5.4    1.6 1028.5   41.8   83.7  853.7   49.3
2003   11.0   46.9   18.8   15.6   23.6  168.3  287.0  307.3  338.9  119.8    4.3   13.7 1355.1   57.9   58.0 1101.4  137.7
2004   26.4    4.5    5.3   34.4   39.3  227.5  252.2  281.5  139.0   61.0    0.1    0.7 1072.0   30.9   79.1  900.1   61.9
2005   28.0   19.4   20.8    7.8   26.5  121.7  402.9  249.7  179.3   91.1    0.4    6.7 1154.2   47.4   55.1  953.6   98.1
2006    0.6    0.0   22.8   24.7   69.8  164.0  370.4  256.0  189.8   23.8    6.7    0.8 1129.3    0.6  117.3  980.1   31.3
